gene	tSNE_x	tSNE_y	D02_MDDC_Ifnb.resp.tsv	D03_MDDC_Ifnb.resp.tsv	D11_MDDC_Ifnb.resp.tsv	Interagrated	D02_MDDC_Ctrl_0h	D02_MDDC_Ifnb_1h	D02_MDDC_Ifnb_2h	D02_MDDC_Ifnb_4h	D02_MDDC_Ifnb_6h	D02_MDDC_Ifnb_12h	D02_MDDC_Ifnb_24h	D03_MDDC_Ctrl_0h	D03_MDDC_Ifnb_1h	D03_MDDC_Ifnb_2h	D03_MDDC_Ifnb_4h	D03_MDDC_Ifnb_6h	D03_MDDC_Ifnb_12h	D03_MDDC_Ifnb_24h	D11_MDDC_Ctrl_0h	D11_MDDC_Ifnb_1h	D11_MDDC_Ifnb_2h	D11_MDDC_Ifnb_4h	D11_MDDC_Ifnb_6h	D11_MDDC_Ifnb_12h	D11_MDDC_Ifnb_24h
ARSK	-13.5265878533	-11.4550434951	1	2	3	0	1.71	2.23	1.53	1.76	1.83	3.02	5.44	2.61	2.57	2.53	2.3	3.42	5.03	7.1	2.43	3.39	2.62	2.8	2.54	5.11	6.61
ASAP1-IT1	1.61055510414	2.13803358439	0	1	1	4	2.41	1.12	8.42	3.9	2.73	2.02	1.17	0.68	0.78	1.99	0.89	1.54	0.6	1.57	0.96	2.03	3.73	1.44	1.47	0.95	1.53
ASCL2	-16.7814272566	0.442914081962	5	3	4	6	4.83	5.36	9.34	30.82	34.62	53.92	50.64	3.08	2.53	3.29	21.39	32.84	52.96	68.46	2.91	4.21	5.55	14.4	29.04	48.87	35.3
ASIP	6.96944236667	-5.18585590371	3	0	1	3	1.93	0.0	1.42	2.3	2.37	1.62	0.48	2.11	1.83	1.58	1.84	1.59	1.49	0.54	0.26	2.33	1.41	0.89	2.32	0.77	1.01
ASPHD2	-7.27979199038	8.13028399042	3	5	2	5	6.68	6.4	6.69	28.39	25.01	11.33	10.71	3.17	2.61	5.21	19.79	23.95	17.2	16.2	4.79	3.84	5.14	24.71	20.04	14.95	10.32
ASS1	-13.4068208346	-11.4572524677	1	2	3	0	6.19	5.13	6.33	5.02	5.65	13.64	38.82	0.78	1.6	1.0	0.67	1.72	5.6	17.97	25.8	33.6	33.94	31.62	40.14	66.29	88.0
ATF3	-0.24082608436	3.27662300362	0	1	2	4	30.85	295.92	440.61	330.03	246.24	155.37	175.76	54.23	255.7	451.71	365.73	374.2	276.51	215.49	25.19	196.99	312.46	277.61	182.46	142.77	109.58
ATF5	-11.4227123316	5.84987383785	4	3	2	6	128.08	126.6	187.89	461.94	492.1	394.93	379.03	109.23	114.33	172.14	394.29	542.78	552.06	520.96	127.26	138.34	244.06	586.59	576.48	560.17	443.22
ATG16L2	3.91337328227	-5.19900462881	2	1	1	3	5.83	8.88	10.59	3.56	3.05	2.45	2.88	4.64	6.17	7.66	2.22	2.1	1.38	5.41	5.25	7.15	11.58	3.75	3.08	3.5	5.25
ATOX1	-15.5042500247	-10.0157667786	5	2	3	0	184.92	172.65	184.03	185.26	180.08	417.8	451.4	284.97	264.23	279.82	277.51	248.22	340.97	423.36	138.72	128.61	128.14	112.79	134.28	190.34	255.59
ATP10A	-13.6355465197	2.43899448195	4	3	4	6	0.62	0.81	2.08	11.63	18.14	15.9	11.24	0.7	0.91	1.9	10.8	31.13	36.22	24.79	0.98	1.04	2.63	23.99	39.27	47.36	30.06
ATP13A1	-16.1866635862	-8.05460220297	1	2	3	6	49.9	54.26	46.56	50.02	54.8	95.47	122.13	44.84	42.72	36.18	40.09	57.29	108.55	170.56	54.37	62.45	59.12	70.85	99.01	159.44	185.36
ATP1A1-AS1	-12.680667831	-13.9741390739	1	2	1	0	0.18	1.02	0.66	1.66	0.38	1.61	2.95	1.7	1.72	1.28	1.05	1.3	1.75	2.11	0.95	0.98	0.24	0.31	0.55	0.36	0.63
ATP1B1	-7.42614914467	2.16076131515	4	5	4	5	54.51	57.0	50.68	107.76	121.46	62.61	48.82	68.89	59.53	61.99	109.94	160.68	104.63	72.13	51.46	52.2	54.96	89.7	116.93	84.57	54.74
ATP2A2	-9.11098838453	10.2085265808	3	3	2	6	76.66	94.2	91.7	160.31	141.14	115.77	102.51	96.2	97.97	99.56	122.79	144.21	170.46	173.92	97.98	111.66	127.95	189.38	191.85	176.32	153.68
ATP6V0A2	-17.0059537914	-6.47338643521	5	3	3	6	10.67	9.35	9.1	10.59	11.06	18.89	19.48	9.65	10.22	8.56	11.03	17.69	30.26	31.9	9.96	10.07	9.09	11.86	11.0	16.15	18.94
ATXN1L	-7.83341671028	8.96329099462	3	5	2	5	10.37	12.39	12.81	22.41	16.96	8.95	11.39	8.79	9.84	10.98	16.54	14.27	13.87	16.05	12.83	13.55	17.85	29.63	18.71	18.24	19.41
ATXN7	-6.92980503385	5.66321710587	4	5	2	5	13.37	14.67	20.73	29.07	26.84	20.61	21.7	13.45	14.49	21.84	24.04	26.48	22.19	25.44	19.56	20.41	31.29	44.14	39.94	35.5	34.77
ATXN7L1	-16.0473247553	-8.23569249884	1	2	3	6	9.74	8.13	6.56	10.24	18.12	36.25	53.47	8.66	7.28	6.06	8.99	16.63	35.43	53.48	16.03	10.05	7.98	14.22	28.28	55.48	76.43
ATXN7L3	-12.8930295556	-11.4346294285	1	2	3	0	11.31	15.23	13.86	14.91	12.53	17.25	23.12	11.3	12.46	10.98	12.04	13.57	19.47	28.9	13.37	18.61	15.29	19.39	16.27	23.68	31.77
AXL	-16.8359955601	-6.43124574998	5	3	4	6	0.2	0.49	1.06	9.13	17.55	43.02	56.33	0.17	0.2	0.74	5.65	16.88	42.05	62.43	0.2	0.19	1.43	16.71	44.91	114.87	135.07
AZI2	-12.7651107566	-7.83482935775	1	3	3	6	28.55	32.82	37.95	44.53	39.24	48.98	65.9	33.17	40.06	53.93	45.91	57.42	62.49	67.72	38.84	41.69	47.51	59.52	53.88	66.04	88.49
