gene	tSNE_x	tSNE_y	D02_MDDC_Ifnb.resp.tsv	D03_MDDC_Ifnb.resp.tsv	D11_MDDC_Ifnb.resp.tsv	Interagrated	D02_MDDC_Ctrl_0h	D02_MDDC_Ifnb_1h	D02_MDDC_Ifnb_2h	D02_MDDC_Ifnb_4h	D02_MDDC_Ifnb_6h	D02_MDDC_Ifnb_12h	D02_MDDC_Ifnb_24h	D03_MDDC_Ctrl_0h	D03_MDDC_Ifnb_1h	D03_MDDC_Ifnb_2h	D03_MDDC_Ifnb_4h	D03_MDDC_Ifnb_6h	D03_MDDC_Ifnb_12h	D03_MDDC_Ifnb_24h	D11_MDDC_Ctrl_0h	D11_MDDC_Ifnb_1h	D11_MDDC_Ifnb_2h	D11_MDDC_Ifnb_4h	D11_MDDC_Ifnb_6h	D11_MDDC_Ifnb_12h	D11_MDDC_Ifnb_24h
CCT6P1	-12.9862739243	-11.6374758164	1	2	3	0	0.13	0.93	0.21	1.1	0.25	1.24	4.02	0.4	1.03	0.81	0.11	1.26	1.79	3.33	1.13	0.4	1.21	0.54	0.69	2.2	3.17
CCT6P3	-15.8119603393	-10.5691258771	1	2	3	0	0.89	0.47	1.46	0.46	1.2	2.19	3.14	1.08	0.44	1.02	0.94	0.73	1.16	1.6	1.14	0.24	0.64	0.21	0.42	1.38	1.81
CD109	-6.79120362599	1.08496499092	3	3	4	5	1.75	2.0	2.0	4.76	3.78	3.64	2.15	6.28	5.93	6.16	7.5	10.5	10.18	4.63	8.06	7.16	7.42	9.71	10.19	8.65	4.22
CD14	-8.10541818913	-14.3718066235	1	0	3	0	122.15	153.92	163.17	138.82	106.24	82.78	144.56	150.75	207.96	187.47	158.97	142.46	92.07	160.61	209.09	333.93	320.15	280.6	268.56	267.72	658.26
CD164	-15.1468505694	-6.11092644931	1	3	3	6	398.32	452.5	444.17	515.84	592.62	642.15	811.17	463.15	523.46	571.86	607.07	756.18	912.55	1004.15	270.27	288.61	287.34	378.27	412.37	548.9	670.39
CD1D	-11.9596425724	3.091928354	4	3	4	6	18.34	19.42	15.23	21.73	28.18	20.95	18.2	10.56	10.69	8.22	16.18	26.58	27.08	30.59	5.72	5.65	6.08	6.91	10.55	10.47	8.52
CD274	-1.1665088609	3.60617048219	4	3	2	4	51.99	229.81	358.11	379.41	383.19	347.32	377.63	67.2	221.19	457.11	376.78	482.37	467.65	461.64	79.88	283.3	524.6	508.42	538.07	448.93	366.73
CD2AP	-15.0198675122	2.68314983599	4	3	4	6	22.92	20.02	20.36	49.99	73.96	81.37	66.86	15.49	14.48	16.85	36.6	63.28	69.42	62.82	28.58	26.83	27.51	67.17	95.72	108.57	94.73
CD38	-17.0134673871	-5.78949105972	5	3	4	6	8.33	13.08	12.17	32.65	68.61	224.94	258.27	2.28	3.15	2.89	9.54	53.22	158.89	233.28	5.43	5.91	7.2	32.66	86.21	179.85	174.7
CD40	-13.3919968224	0.389380517229	5	3	4	6	91.25	97.44	110.74	207.12	383.63	501.88	304.53	99.73	107.88	127.05	242.1	583.11	686.81	399.23	78.12	88.95	112.37	221.81	433.8	453.94	203.51
CD47	-16.6954006285	0.354382517703	5	3	4	6	46.11	52.93	53.91	86.17	124.96	156.63	154.62	60.66	64.5	74.17	100.22	154.79	202.05	199.97	44.94	45.36	47.36	78.71	116.23	152.49	126.32
CD48	-16.4543400707	0.857382819398	5	3	4	6	160.2	149.66	170.99	236.74	367.93	554.76	474.52	190.33	197.75	217.01	314.98	493.22	493.85	454.39	357.68	287.93	316.0	486.81	620.46	624.53	594.57
CD58	-8.05281027593	4.52545805996	4	5	2	6	35.37	38.16	53.63	67.63	75.8	68.55	79.58	47.09	46.37	66.81	95.5	115.03	79.71	67.39	29.1	34.87	35.78	58.42	56.87	40.74	56.22
CD69	3.84751435961	-6.30852507407	2	1	1	3	0.28	151.49	101.86	31.62	28.61	16.19	19.52	0.3	121.5	111.25	29.96	31.33	19.95	16.92	0.99	110.76	79.22	28.77	29.77	25.47	28.56
CD7	-7.02241377562	3.24233156873	3	5	4	5	0.37	1.17	1.01	2.94	2.11	1.34	0.75	0.08	0.1	1.4	1.29	1.84	1.22	0.6	0.33	0.62	0.74	1.51	2.45	1.31	0.76
CD72	-13.7158398813	-11.5109693428	1	2	3	0	0.51	0.12	0.52	0.84	0.44	1.79	3.38	0.84	1.18	0.7	0.48	1.4	3.92	8.82	0.99	0.3	0.73	1.08	1.71	1.79	3.99
CD80	-13.9762443885	6.0358314412	4	3	4	6	3.17	3.78	11.6	25.17	28.82	25.52	35.01	2.99	4.27	10.85	16.49	32.34	33.13	35.6	1.93	2.79	9.13	16.44	19.77	23.59	26.32
CD81	-12.9689053819	-11.7435234204	1	2	3	0	755.0	869.0	730.08	753.31	766.54	876.95	1342.29	921.67	1040.72	861.11	965.05	1022.56	1265.47	1666.04	261.81	365.25	352.55	369.49	424.16	583.07	716.42
CD86	-15.1080315976	-5.37397309238	5	3	4	6	223.93	243.63	282.73	355.62	410.73	560.75	667.73	308.62	313.47	398.74	411.85	542.15	663.46	790.64	223.76	244.24	333.18	400.8	480.77	505.1	553.4
CD97	-9.49461495259	9.56100108364	4	3	2	6	81.69	100.07	122.91	250.09	230.44	162.69	144.67	70.99	84.92	108.49	166.78	174.32	183.73	201.09	82.18	102.99	131.28	232.61	229.21	214.84	210.24
CDC42EP1	-17.104011736	-1.42444914468	5	2	4	6	31.54	31.94	26.46	43.83	50.02	71.37	61.8	0.88	1.5	0.91	1.58	3.16	8.52	21.91	72.15	66.26	53.22	100.84	122.39	163.95	111.21
CDC42EP4	3.721666532	-5.23089495264	0	1	1	4	5.18	7.5	9.58	5.9	3.5	1.86	3.21	4.39	5.46	10.04	5.55	4.1	1.99	3.98	3.94	6.48	9.04	3.7	2.4	2.17	3.55
CDC73	-10.3472229374	7.28139686414	4	3	2	6	21.99	24.34	27.43	70.27	68.06	53.11	60.09	21.3	21.96	35.22	57.13	67.8	63.79	68.3	21.52	27.06	33.19	70.09	68.97	58.51	61.83
CDK17	-7.87704484107	7.44933198683	3	5	2	5	28.02	31.09	31.56	80.44	63.87	51.5	61.23	30.93	29.82	38.21	69.07	61.4	54.67	63.98	31.05	31.23	35.59	89.73	69.64	60.9	65.58
CDK18	-15.6818319616	-9.38988091964	5	2	3	0	3.72	3.18	2.74	2.92	3.5	16.86	23.31	9.13	7.65	6.82	4.26	8.78	26.82	44.92	6.04	7.29	5.83	5.08	10.27	29.21	41.57
CDK2	-8.85756771871	-14.4651137945	1	2	3	0	4.27	6.19	4.26	6.72	5.03	3.88	8.34	3.35	3.12	3.65	5.48	3.73	3.85	5.94	2.86	4.7	5.06	5.27	4.72	4.39	7.58
CDK2AP1	-14.0771576756	-11.3513439117	1	3	3	6	102.3	102.7	101.91	107.48	124.4	144.48	205.32	70.21	65.13	65.61	82.21	100.39	134.37	182.6	54.82	56.11	50.35	57.61	69.71	68.43	96.48
CDKL1	-12.8515105355	6.60258906735	4	3	4	6	1.16	0.81	1.43	4.87	4.48	4.95	4.97	0.37	0.64	0.64	2.87	4.83	3.22	3.51	1.03	0.78	0.66	7.65	9.27	8.44	11.56
CDKN1A	-0.44906815125	3.41106582965	0	1	2	4	137.99	469.33	727.25	635.3	452.52	291.92	437.43	179.95	366.8	549.46	468.58	432.94	381.84	440.34	168.22	414.34	567.33	526.94	466.78	468.55	528.36
CDKN1C	-13.7272671076	-11.3949055081	1	2	3	0	0.53	0.39	0.28	0.84	1.14	4.78	13.73	0.4	0.37	0.1	1.02	1.53	5.12	16.53	0.0	0.18	0.21	0.0	1.05	3.27	5.02
CDKN2B-AS1	4.34799736192	-7.05295930925	3	0	4	3	0.99	1.93	3.1	3.53	2.47	0.92	1.22	1.09	2.29	2.02	1.53	2.24	0.16	0.0	0.0	0.18	0.14	0.0	0.06	0.21	0.16
CDKN2D	-7.83494384879	4.76296621282	4	5	2	5	6.21	7.08	11.98	27.45	27.89	12.4	15.96	4.57	5.72	16.06	23.4	17.46	10.69	9.91	4.83	6.27	9.73	19.36	18.27	18.38	8.55
CDKN3	6.13328627157	-8.40876276634	0	0	1	3	1.24	2.72	3.63	1.94	1.55	0.17	0.73	0.92	1.03	0.95	0.59	0.24	0.74	0.61	2.47	1.69	1.03	1.95	0.85	0.19	0.37
CEACAM1	-16.4783938695	-1.0343247288	5	3	4	6	0.0	0.16	0.05	0.15	1.0	2.25	1.41	0.0	0.0	0.0	0.19	0.47	0.87	1.37	0.04	0.05	0.23	0.97	2.52	5.0	3.93
CEBPD	-11.3348875588	1.28320466064	4	3	4	6	37.24	63.99	57.61	75.61	85.04	84.09	61.19	36.07	64.89	56.44	76.35	87.18	78.32	64.89	54.66	100.12	82.48	93.27	91.81	92.05	63.4
CENPJ	-3.39562138674	4.71356083615	3	5	2	5	1.27	1.36	2.38	4.14	3.91	1.66	1.84	0.89	1.72	1.09	2.21	2.66	1.12	1.66	2.51	2.02	2.06	3.46	3.8	1.77	2.89
CENPL	-0.696483468496	-9.92421414375	0	2	3	0	3.19	3.33	3.59	2.99	2.58	2.69	3.04	2.55	1.86	3.58	2.69	3.85	4.26	6.15	3.33	3.1	2.62	2.42	4.5	3.67	6.25
CENPN	-12.5107084568	4.78795742135	4	3	4	6	6.79	10.72	11.91	24.51	36.13	24.71	22.9	5.54	5.6	7.43	20.15	27.83	28.08	27.36	6.21	9.24	8.73	27.75	35.69	38.19	29.27
CEP57L1	-12.9369294514	6.74125597397	4	3	4	6	4.64	4.67	4.83	7.86	12.55	7.71	11.14	3.36	3.15	4.58	5.61	10.49	9.11	9.03	6.01	4.53	4.75	7.53	10.96	7.33	10.88
CERS6	-12.7353342854	1.73634341487	4	3	4	6	41.4	45.96	37.67	57.95	76.31	73.78	54.77	46.11	46.04	46.32	50.07	76.13	97.71	77.33	53.62	49.87	45.61	74.77	95.91	96.19	61.84
CES1	-17.1573894676	-7.58963955557	5	3	3	6	5.69	7.26	5.78	5.35	4.76	11.33	13.73	1.04	0.32	0.89	0.52	0.99	1.61	1.37	4.93	6.18	7.03	4.36	8.26	22.31	35.97
CFB	-13.8078410096	-11.2999392934	1	2	3	0	3.15	3.4	2.94	3.15	2.8	21.25	47.06	4.01	4.58	4.75	3.51	7.31	24.79	59.14	3.43	4.86	4.98	5.46	8.07	36.5	58.9
CFLAR	-14.3615595629	5.54550230797	4	3	4	6	24.58	33.6	37.77	76.82	92.12	90.61	91.79	22.58	28.63	38.27	63.01	98.62	115.97	114.63	23.44	35.04	40.72	79.57	77.02	107.2	101.06
CH25H	-0.965142673108	4.90426379692	4	3	1	5	49.34	139.58	124.87	137.69	150.87	104.74	87.07	63.65	140.76	134.43	182.12	205.56	196.6	167.49	49.64	142.87	137.05	133.87	114.22	94.29	57.57
CHI3L2	-11.972725532	-3.92167067075	5	1	4	1	1.09	2.94	1.87	1.93	2.2	3.58	2.68	2.92	3.9	4.4	2.55	2.14	2.5	2.45	2.66	2.78	2.71	2.0	3.5	3.02	2.85
CHIC2	-9.03158785806	8.20656724052	4	5	2	6	20.88	25.08	25.47	42.68	40.94	29.4	36.34	23.27	28.59	25.09	46.83	46.91	37.67	48.97	12.2	14.15	19.31	22.0	24.48	19.82	24.6
CHKB-AS1	-8.23954247845	-1.9856938701	5	2	2	1	1.5	1.46	1.02	1.79	2.45	3.63	2.21	0.78	1.88	1.45	1.21	1.73	2.2	3.21	1.9	0.53	0.64	1.62	1.3	0.92	0.9
CHMP5	-15.1307408422	-5.23285147792	4	3	4	6	53.21	62.51	69.4	84.05	104.22	117.65	151.95	82.23	81.3	103.26	110.3	150.8	153.23	154.52	50.36	49.56	51.37	68.52	92.92	94.0	114.61
CHRFAM7A	-3.04591266299	5.89951760488	3	3	2	5	1.73	3.04	2.92	3.44	2.84	0.41	1.33	0.97	1.49	1.15	1.01	1.96	2.91	3.28	0.41	1.0	0.73	1.38	1.08	0.42	0.62
CHRNB1	-14.0881648034	5.84575259165	5	3	4	6	2.33	3.54	4.48	10.3	8.37	12.16	12.17	0.96	1.71	2.93	5.7	6.36	6.3	8.7	1.68	2.41	4.09	7.83	10.66	11.71	10.31
CHST12	-7.52194078001	8.00274820281	4	3	2	5	11.81	14.71	19.03	56.88	57.03	28.0	27.5	10.94	10.5	12.47	38.83	50.16	37.35	36.1	10.12	14.84	17.31	45.64	58.31	40.43	33.39
CHSY1	-6.13776890873	5.24905212375	3	3	2	6	15.31	16.05	24.26	34.52	28.76	23.67	28.45	15.89	18.78	25.63	28.21	28.75	26.95	32.71	23.73	24.38	34.31	44.88	40.8	40.51	41.94
CIR1	-17.6125160337	-0.773650073256	5	3	4	6	28.15	25.67	31.44	31.98	43.21	74.51	77.9	51.56	40.75	47.9	75.94	97.11	103.86	93.52	59.87	52.88	66.74	88.15	111.32	128.56	149.49
CIRBP-AS1	5.0006840801	-7.95509241614	2	0	1	3	1.16	2.22	2.99	0.6	0.37	0.39	0.41	1.85	1.16	1.19	1.11	0.4	0.31	0.11	0.72	2.45	3.07	0.36	1.15	0.41	0.1
CISD2	-16.0665980136	-8.63759211392	1	2	3	6	18.4	20.35	20.7	18.41	21.62	29.88	38.68	19.88	20.66	23.68	20.94	24.54	29.75	39.37	11.81	12.25	13.15	11.17	13.53	19.05	21.68
CKAP4	-13.3100564681	2.20347193319	4	3	4	6	4.16	4.96	6.03	18.94	27.03	30.13	18.48	7.23	5.19	6.88	14.43	31.65	33.34	27.34	7.16	7.98	12.08	31.8	46.43	41.01	23.36
CKS1B	-13.9827051769	-11.3675293738	1	2	3	0	29.2	20.97	28.37	21.71	29.73	36.89	54.27	23.88	28.66	26.08	26.6	25.41	33.18	51.51	17.18	17.2	18.13	14.91	19.13	21.59	31.51
CLASRP	0.453693071461	3.94733956009	0	1	1	4	5.25	7.85	8.85	8.28	6.0	5.76	5.4	4.06	7.02	7.59	4.53	4.91	6.48	6.15	6.23	9.75	13.67	9.51	8.7	8.04	7.21
CLDN23	-13.8670350373	-7.23969117586	1	3	3	6	15.56	20.2	30.58	44.6	57.19	77.66	125.32	16.09	18.36	29.85	46.22	52.67	58.79	96.62	12.15	16.32	25.82	35.86	45.51	55.44	77.82
CLDND1	-7.59060771106	6.95615404493	4	5	2	5	28.65	30.66	34.49	53.67	58.46	39.31	49.77	31.01	34.31	38.97	57.77	61.95	41.63	51.97	46.85	40.55	39.35	60.82	54.79	52.09	63.97
CLEC12A	-9.25810134091	-11.8383243859	1	1	3	0	12.33	11.84	13.96	8.47	11.83	16.38	26.4	38.59	41.17	49.37	40.42	41.19	31.32	31.79	60.88	54.28	59.84	57.49	54.82	76.2	141.61
CLEC1A	-9.15060569164	-14.0569332652	1	2	3	0	1.3	2.62	1.81	0.94	1.46	1.14	4.0	1.42	1.82	1.65	0.61	0.47	0.81	3.36	1.26	2.02	0.97	1.23	1.05	2.89	6.33
CLEC2B	-17.0303100548	2.08958667059	4	3	3	6	16.59	18.97	29.35	37.11	58.29	56.61	61.43	21.86	19.87	33.75	50.17	80.18	70.44	62.11	24.17	29.62	37.54	46.04	66.75	63.53	87.28
CLEC4D	-9.80725850256	2.14806177336	4	3	2	6	0.08	0.19	0.17	0.17	0.52	0.54	0.57	0.15	0.07	0.37	1.16	1.68	1.17	0.63	1.21	1.93	2.31	6.63	6.93	2.41	1.76
CLEC7A	-5.19777071359	4.95583910424	3	5	3	5	97.6	128.13	167.89	186.62	158.89	110.18	159.13	98.1	118.57	164.88	175.54	203.31	135.91	152.3	137.27	170.58	219.13	252.72	219.42	191.74	309.22
CLECL1	-15.0724992635	-5.5809320983	5	3	3	6	22.26	21.43	38.07	49.21	48.83	70.1	80.12	4.81	5.04	10.85	17.1	23.01	35.87	40.71	6.64	5.9	7.31	9.46	15.28	17.16	23.67
CLIC1	-12.6214108805	2.02314117976	4	3	4	6	480.54	533.09	626.46	862.12	1177.14	1118.84	918.4	439.4	511.97	587.08	924.09	1287.53	1153.81	794.06	305.43	363.44	448.52	610.02	846.35	771.16	609.94
CLIC4	-16.9937702325	-0.199894261999	5	3	4	6	132.45	142.46	126.14	173.18	212.89	275.43	265.42	135.37	137.71	157.77	175.53	249.63	324.65	308.16	155.0	148.24	138.62	206.37	239.46	340.11	329.49
CLK1	-1.17341139919	-2.69354590649	4	1	2	4	12.69	15.32	19.73	19.96	24.33	15.81	17.53	12.1	14.97	25.79	19.07	23.43	13.97	15.87	12.28	12.77	18.14	19.68	19.45	12.79	18.45
CLSTN3	-12.5994172159	-12.781686066	1	2	4	0	5.6	5.1	4.25	4.73	3.92	5.29	8.24	12.31	9.0	7.77	9.15	10.55	19.96	29.34	15.26	19.25	16.02	16.25	16.38	22.48	20.9
CMC2	-16.7995901526	2.01076738789	4	3	4	6	62.65	66.92	76.74	124.98	133.87	146.97	167.75	68.5	52.32	75.02	144.59	159.71	148.14	135.68	31.55	34.5	45.12	55.96	88.1	90.73	69.77
CMKLR1	-10.7304000611	8.54480080894	3	3	4	6	44.14	40.16	31.24	85.84	62.47	66.56	68.82	16.07	16.0	12.23	31.84	38.0	51.83	55.26	42.12	33.9	31.7	100.55	83.35	105.35	91.69
CMPK2	-12.611941117	6.35147161358	4	3	4	6	2.06	37.43	141.25	490.13	578.16	478.85	530.83	1.93	21.37	139.01	431.71	585.15	527.63	607.8	1.97	33.76	124.14	458.86	564.83	551.24	558.32
CMTR1	-17.4136157017	-0.161920651882	4	3	4	6	7.81	11.52	12.28	22.19	30.57	37.79	40.52	6.99	8.63	9.3	16.35	36.26	54.26	62.75	7.66	11.16	12.32	26.09	47.14	66.64	66.71
CNDP2	-13.7930879727	2.7071421191	4	3	4	6	91.46	107.18	107.2	146.79	176.88	170.93	139.38	62.74	66.14	77.73	85.71	120.7	140.23	111.46	62.78	72.22	89.16	109.9	139.39	136.89	117.84
CNP	-13.8157238068	5.86635480419	4	3	4	6	13.18	23.79	34.98	91.29	97.55	90.19	87.3	13.38	18.98	37.56	80.81	109.3	137.51	139.45	11.51	17.77	42.27	88.15	114.05	124.68	120.11
CNTRL	-14.0807137306	-0.352792078691	4	3	4	6	5.8	5.73	5.42	5.47	9.13	9.27	7.85	5.55	5.39	5.86	4.45	8.62	12.36	10.57	11.93	10.32	11.64	12.23	17.57	19.87	15.69
COASY	-12.1742952892	1.90742152117	4	3	4	6	31.14	31.2	32.39	37.18	47.41	42.47	31.09	23.74	26.91	24.53	31.19	46.84	48.92	39.72	21.48	24.64	28.3	37.42	41.48	42.55	30.86
COBL	-13.9820969529	-11.2522414507	1	2	3	0	0.18	0.47	0.23	0.53	1.17	5.49	10.67	0.13	0.15	0.03	0.98	1.35	3.25	7.45	0.11	0.0	0.1	0.48	0.89	2.83	6.24
COG5	-16.1132511425	-8.08987325962	1	3	3	6	22.21	22.78	20.38	24.01	23.22	33.17	40.63	19.41	22.07	20.51	18.52	25.43	41.87	48.42	28.0	28.37	24.03	26.54	28.27	48.98	55.29
COMMD3-BMI1	-4.84695594774	-7.42438160031	1	1	1	4	9.56	4.68	5.69	0.0	6.76	10.46	19.67	1.42	13.28	16.47	2.54	1.05	4.42	3.31	0.0	1.62	3.29	0.0	0.0	0.0	1.49
COMT	-12.7743345036	-11.6073525766	1	2	3	0	146.45	162.53	152.59	161.28	151.42	167.71	311.9	134.7	148.04	128.15	137.21	151.94	200.67	320.86	87.18	112.83	105.11	114.83	130.15	178.18	246.36
COPZ2	-0.835955343904	-10.2798355499	2	2	3	0	2.42	2.68	1.07	1.08	1.48	0.73	2.27	0.66	0.57	0.59	0.82	0.6	1.4	2.19	0.94	0.71	1.49	2.42	0.88	2.65	3.08
COQ10B	-10.0659401636	4.94298068826	4	3	4	6	21.43	30.24	40.2	41.87	54.31	43.98	54.48	29.1	33.35	48.97	45.0	70.67	63.84	60.81	25.06	29.12	32.4	42.66	44.13	46.55	49.24
CPEB2	-10.4255605364	7.26884781904	4	3	4	6	25.63	31.64	41.23	64.86	70.1	50.38	55.85	27.33	33.82	45.69	51.33	67.51	61.35	70.01	42.84	41.92	48.76	73.61	75.04	79.36	78.03
CPEB3	-11.2602899211	7.1965530731	4	3	4	6	2.94	3.42	3.6	7.92	8.61	5.71	6.76	2.69	2.93	2.82	7.17	6.48	6.79	6.45	3.53	3.34	3.62	7.33	7.93	9.28	6.88
CPT1A	-12.0021973968	2.06805470999	4	3	4	6	15.45	17.98	14.58	25.85	25.68	24.01	14.59	11.93	9.99	10.62	13.94	23.77	32.4	18.73	24.11	24.37	26.26	38.48	50.8	60.31	31.85
CPT1B	-9.40868670044	-6.46083390017	5	3	4	1	0.35	0.42	0.25	0.13	0.13	0.65	0.8	0.46	0.49	0.14	0.63	1.36	2.39	1.14	0.62	0.24	0.0	0.0	0.12	0.47	0.46
CR1L	-15.744446159	-7.31177202333	5	3	3	6	0.33	0.12	0.1	1.31	0.88	2.85	3.45	0.22	0.64	0.16	0.23	1.99	2.66	4.34	0.0	0.65	0.52	0.61	2.65	4.09	7.31
CRAT	-12.6435258728	-12.3523597512	1	2	3	0	10.31	12.79	10.3	10.55	8.83	11.41	18.78	14.18	12.92	11.01	9.56	12.92	28.73	38.04	13.0	16.19	14.74	12.9	14.6	21.84	26.22
CREB3	-14.6960019839	4.87669984654	4	3	4	6	25.31	34.04	33.06	36.68	41.93	43.71	48.14	25.29	23.03	29.28	33.86	49.94	55.42	55.74	18.21	22.55	26.49	34.68	40.09	37.7	32.75
CREBRF	-13.0713787753	-7.38163095485	4	3	3	6	15.18	17.13	26.77	33.16	34.82	31.18	44.07	14.2	18.67	29.28	25.81	33.87	52.85	64.37	22.0	24.44	41.6	41.25	59.22	72.73	90.93
CREM	-5.1618395668	5.06030668432	3	5	2	4	13.06	19.6	22.92	24.65	19.43	17.61	23.39	13.07	20.25	24.89	26.14	29.54	25.23	25.42	15.29	14.14	17.92	19.39	20.18	17.04	22.43
CRLF3	-10.0685622658	8.88941374319	3	3	2	6	21.57	26.88	21.1	38.62	33.36	29.19	35.21	15.55	17.1	17.23	23.46	29.36	30.6	32.73	19.29	20.2	21.15	34.6	31.37	32.64	41.77
CSAG3	-17.1488917051	-6.2397489428	1	3	3	6	0.0	0.0	0.0	0.0	0.67	3.44	5.51	0.0	0.0	0.0	0.0	0.48	1.68	1.42	0.0	0.0	0.0	0.0	0.42	1.98	2.55
CSF1	-9.38726301945	5.18183379766	4	3	2	6	27.39	42.2	76.4	122.7	138.46	111.03	118.21	53.74	63.29	108.67	121.27	174.5	138.54	157.29	72.32	105.29	161.17	199.28	200.69	184.71	170.68
CSF2RB	-9.24622451632	9.83923082082	3	3	2	5	55.84	72.3	77.96	131.89	119.94	84.19	89.0	52.35	60.83	75.02	106.83	112.82	113.47	130.25	78.1	103.07	137.92	203.64	183.63	173.42	152.18
CSNK1G1	-7.76243469103	8.74164240367	3	3	2	5	11.67	12.25	10.47	26.57	18.53	13.86	15.27	12.7	13.1	13.6	25.34	22.06	22.37	29.37	17.16	15.07	14.67	34.5	22.8	20.53	24.38
CSNK1G2	-17.3111859415	-5.48923534439	1	3	4	6	22.98	26.21	21.3	26.68	24.33	30.26	34.07	19.43	18.53	18.21	14.17	28.71	38.39	46.85	27.04	29.03	26.29	26.57	35.34	51.48	50.05
CSRNP1	0.382915693172	3.93166983723	0	1	1	4	3.57	70.29	78.42	54.15	43.55	29.35	36.15	3.95	58.49	66.34	35.66	46.37	41.06	49.57	3.49	61.42	72.14	49.04	41.59	38.46	41.08
CSRNP2	-8.2693542722	8.62063308939	3	3	2	5	6.2	7.36	6.42	19.29	15.26	9.9	13.71	6.2	4.61	5.52	11.71	15.47	12.34	17.5	8.16	6.09	8.25	22.28	20.19	15.76	17.9
CTC-338M12.4	3.84450547261	-7.01165426824	2	1	1	4	1.09	1.31	1.61	0.81	1.34	0.39	0.69	0.5	1.3	2.14	0.89	1.08	0.98	0.92	0.28	2.22	0.95	0.97	0.32	0.7	0.69
CTNNBL1	-13.2017427221	5.07842208069	4	3	4	6	49.99	53.46	56.37	112.14	155.45	140.49	138.85	47.63	49.67	55.17	112.97	160.53	162.99	147.52	48.25	46.37	48.08	111.24	143.21	122.23	118.63
CTSL	-17.0448965485	-6.34917989084	5	3	4	6	1222.22	1163.62	1194.85	1212.86	1427.05	3731.22	4505.38	1175.48	1101.03	1266.3	1304.02	1725.73	2525.9	2888.58	921.3	864.93	986.69	955.7	1317.74	1784.49	1973.92
CTSO	-15.535660436	-9.53639737121	1	2	3	0	29.77	28.04	24.21	27.02	29.81	35.76	41.46	31.39	31.04	33.56	30.43	36.62	48.29	66.43	36.36	32.35	30.91	36.14	40.89	61.45	75.08
CTTN	-10.5451124786	-12.8175330612	1	2	3	0	1.71	1.29	1.69	1.02	0.84	1.61	3.65	1.57	1.71	1.63	1.89	1.47	1.72	4.41	1.92	2.23	1.94	1.77	1.61	1.73	3.48
CUEDC1	-15.4159472838	3.86189083429	5	3	4	6	7.46	9.59	10.41	11.93	11.44	12.68	11.6	5.7	5.78	5.79	5.94	10.65	14.07	13.74	7.36	8.4	8.97	8.64	12.62	16.56	12.98
CUL1	-10.6575238361	7.8333935078	4	3	2	6	29.91	33.49	31.62	55.61	53.36	46.4	53.86	30.46	30.68	32.98	55.18	59.08	60.35	62.99	36.08	37.57	42.33	77.67	68.83	71.4	76.35
CUL4B	-14.5519697318	6.453348708	4	3	4	6	19.91	22.61	19.25	30.57	36.87	30.92	36.36	19.04	21.83	20.47	24.32	34.79	42.39	46.15	21.75	22.89	22.61	31.94	40.74	44.0	48.48
CXCL10	-17.0018925096	0.151146188199	5	3	4	6	6.49	204.38	1541.38	3416.52	4607.32	9388.11	8498.05	6.86	109.64	1045.22	2415.2	4287.91	7270.74	6906.72	1.74	212.49	1410.42	3205.79	3686.67	6096.7	4435.46
CXCL11	-16.3367059331	-5.88853472144	1	3	4	6	0.2	1.76	9.09	40.77	86.32	306.92	554.32	0.31	1.3	10.75	47.45	175.47	389.81	435.72	0.0	1.67	7.39	50.49	65.37	134.3	141.99
CXCL8	4.71712401244	-10.6589479048	2	0	1	3	8.74	20.97	17.44	6.5	9.27	4.33	11.12	16.47	68.67	28.78	12.27	20.74	5.87	7.73	15.12	40.05	23.49	12.31	8.17	6.38	4.89
CXCL9	-4.47857963111	-0.335862179656	4	5	2	5	0.0	2.82	5.17	11.56	12.54	3.19	0.25	0.04	1.72	4.34	4.34	7.35	2.85	0.11	0.0	6.02	21.05	32.45	31.0	7.34	0.6
CXCR2P1	-13.4441506118	-7.68259742543	4	2	3	6	50.71	63.48	68.16	109.66	112.37	121.61	164.38	13.86	13.67	18.1	29.2	35.7	53.27	95.0	45.13	54.26	69.25	101.11	96.7	121.85	177.73
CXorf21	0.39383618677	3.91535016194	0	1	4	4	11.52	75.94	103.58	55.14	61.29	50.45	54.54	9.21	56.06	91.93	50.16	62.84	87.99	77.65	16.96	103.21	127.97	81.31	110.0	118.19	104.82
CXorf38	-11.6847821858	4.08850531858	4	3	4	6	8.4	11.87	10.22	23.47	24.6	19.94	14.34	8.81	8.82	11.24	19.88	23.58	23.85	18.97	9.3	10.65	13.96	25.03	31.87	28.64	20.17
CXorf40A	-1.63342427465	-10.8133455463	5	2	3	0	4.79	5.15	4.06	4.75	4.15	5.04	4.72	5.07	3.96	4.47	2.72	5.46	4.43	7.78	2.92	4.87	2.77	4.29	3.47	6.16	6.96
CYB561	-16.8528764335	-5.35878446919	1	3	4	6	5.16	5.87	5.43	6.2	8.43	10.32	14.01	3.59	4.2	3.72	4.69	6.94	14.33	17.41	2.87	3.7	2.77	4.95	7.33	12.67	11.12
CYB561A3	-9.0151881232	-14.1851233368	1	2	3	0	28.53	41.06	35.1	34.38	21.84	26.62	59.72	33.87	37.4	27.6	32.83	23.74	34.59	90.78	19.97	22.91	23.26	21.47	20.29	34.24	53.98
